"sep=	"
ECL_S02_TimestampSync_Unix_CAL	ECL_S02_GSR_Range_CAL	ECL_S02_GSR_Skin_Conductance_CAL	ECL_S02_GSR_Skin_Resistance_CAL	ECL_S02_PPG_A12_CAL	
ms	no_units	uS	kOhms	mV	
1.7126464094519949E12	1.0	5.536623655090554	180.61549100968188	1528.937728937729	
1.712646409471496E12	1.0	5.541728886676622	180.44910179640718	1517.216117216117	
1.712646409490997E12	1.0	5.54683411826269	180.2830188679245	1492.3076923076922	
1.7126464095104983E12	1.0	5.541728886676622	180.44910179640718	1450.5494505494505	
1.7126464095299993E12	1.0	5.54683411826269	180.2830188679245	1409.5238095238094	
1.7126464095495005E12	1.0	5.551939349848757	180.11724137931034	1379.4871794871794	
1.7126464095690015E12	1.0	5.551939349848757	180.11724137931034	1374.3589743589744	
1.7126464095885027E12	1.0	5.551939349848757	180.11724137931034	1376.5567765567764	
1.712646409608004E12	1.0	5.557044581434826	179.95176848874596	1380.952380952381	
1.712646409627505E12	1.0	5.557044581434826	179.95176848874596	1370.6959706959706	
1.712646409647006E12	1.0	5.557044581434826	179.95176848874596	1364.102564102564	
1.712646409666507E12	1.0	5.562149813020893	179.78659935750343	1361.1721611721612	
1.7126464096860083E12	1.0	5.562149813020893	179.78659935750343	1370.6959706959706	
1.7126464097055095E12	1.0	5.562149813020893	179.78659935750343	1373.6263736263736	
1.7126464097250105E12	1.0	5.562149813020893	179.78659935750343	1370.6959706959706	
1.7126464097445117E12	1.0	5.562149813020893	179.78659935750343	1350.18315018315	
1.7126464097640127E12	1.0	5.567255044606961	179.6217331499312	1334.7985347985348	
1.712646409783514E12	1.0	5.567255044606961	179.6217331499312	1333.3333333333333	
1.712646409803015E12	1.0	5.567255044606961	179.6217331499312	1328.937728937729	
1.712646409822516E12	1.0	5.567255044606961	179.6217331499312	1311.3553113553112	
1.7126464098420173E12	1.0	5.567255044606961	179.6217331499312	1298.9010989010987	
1.7126464098615183E12	1.0	5.567255044606961	179.6217331499312	1296.7032967032967	
1.7126464098810195E12	1.0	5.567255044606961	179.6217331499312	1298.168498168498	
1.7126464099005205E12	1.0	5.57236027619303	179.4571690334402	1291.5750915750914	
1.7126464099200217E12	1.0	5.567255044606961	179.6217331499312	1281.3186813186812	
1.7126464099395227E12	1.0	5.567255044606961	179.6217331499312	1274.7252747252746	
1.712646409959024E12	1.0	5.567255044606961	179.6217331499312	1279.120879120879	
1.7126464099785251E12	1.0	5.567255044606961	179.6217331499312	1288.6446886446886	
1.7126464099980261E12	1.0	5.567255044606961	179.6217331499312	1308.4249084249084	
1.7126464100175273E12	1.0	5.562149813020893	179.78659935750343	1336.263736263736	
1.7126464100370283E12	1.0	5.562149813020893	179.78659935750343	1379.4871794871794	
1.7126464100565295E12	1.0	5.562149813020893	179.78659935750343	1434.4322344322343	
1.7126464100760308E12	1.0	5.562149813020893	179.78659935750343	1482.7838827838827	
1.7126464100955317E12	1.0	5.562149813020893	179.78659935750343	1510.6227106227104	
1.712646410115033E12	1.0	5.562149813020893	179.78659935750343	1514.2857142857142	
1.712646410134534E12	1.0	5.557044581434826	179.95176848874596	1505.4945054945053	
1.7126464101540352E12	1.0	5.557044581434826	179.95176848874596	1487.9120879120878	
1.7126464101735361E12	1.0	5.557044581434826	179.95176848874596	1466.6666666666665	
1.7126464101930374E12	1.0	5.551939349848757	180.11724137931034	1435.164835164835	
1.7126464102125386E12	1.0	5.551939349848757	180.11724137931034	1408.058608058608	
1.7126464102320396E12	1.0	5.54683411826269	180.2830188679245	1384.6153846153845	
1.7126464102515408E12	1.0	5.54683411826269	180.2830188679245	1373.6263736263736	
1.7126464102710417E12	1.0	5.541728886676622	180.44910179640718	1380.952380952381	
1.712646410290543E12	1.0	5.541728886676622	180.44910179640718	1385.3479853479853	
1.712646410310044E12	1.0	5.541728886676622	180.44910179640718	1390.4761904761904	
1.7126464103295452E12	1.0	5.536623655090554	180.61549100968188	1379.4871794871794	
1.7126464103490464E12	1.0	5.531518423504487	180.7821873557914	1357.5091575091574	
1.7126464103685474E12	1.0	5.531518423504487	180.7821873557914	1335.5311355311355	
1.7126464103880486E12	1.0	5.52641319191842	180.9491916859122	1331.8681318681317	
1.7126464104075496E12	1.0	5.52641319191842	180.9491916859122	1328.937728937729	
1.7126464104270508E12	1.0	5.521307960332352	181.1165048543689	1320.14652014652	
1.7126464104465518E12	1.0	5.521307960332352	181.1165048543689	1308.4249084249084	
1.712646410466053E12	1.0	5.516202728746284	181.28412771864876	1298.168498168498	
1.7126464104855542E12	1.0	5.516202728746284	181.28412771864876	1292.3076923076922	
1.7126464105050552E12	1.0	5.511097497160216	181.45206113941637	1290.8424908424909	
1.7126464105245564E12	1.0	5.511097497160216	181.45206113941637	1280.5860805860805	
1.7126464105440574E12	1.0	5.5059922655741484	181.62030598052849	1271.062271062271	
1.7126464105635586E12	1.0	5.5059922655741484	181.62030598052849	1272.5274725274724	
1.7126464105830598E12	1.0	5.50088703398808	181.7888631090487	1278.3882783882782	
1.7126464106025608E12	1.0	5.50088703398808	181.7888631090487	1277.6556776556777	
1.712646410622062E12	1.0	5.50088703398808	181.7888631090487	1281.3186813186812	
1.712646410641563E12	1.0	5.4957818024020115	181.9577333952624	1306.9597069597069	
1.7126464106610642E12	1.0	5.4957818024020115	181.9577333952624	1336.9963369963368	
1.7126464106805652E12	1.0	5.4906765708159435	182.12691771269175	1376.5567765567764	
1.7126464107000664E12	1.0	5.4906765708159435	182.12691771269175	1414.6520146520145	
1.7126464107195676E12	1.0	5.4906765708159435	182.12691771269175	1462.2710622710622	
1.7126464107390686E12	1.0	5.485571339229876	182.29641693811072	1498.9010989010987	
1.7126464107585698E12	1.0	5.485571339229876	182.29641693811072	1518.6813186813185	
1.7126464107780708E12	1.0	5.485571339229876	182.29641693811072	1526.007326007326	
1.712646410797572E12	1.0	5.485571339229876	182.29641693811072	1520.8791208791208	
1.712646410817073E12	1.0	5.485571339229876	182.29641693811072	1515.018315018315	
1.7126464108365742E12	1.0	5.485571339229876	182.29641693811072	1490.8424908424906	
1.7126464108560754E12	1.0	5.485571339229876	182.29641693811072	1461.5384615384614	
1.7126464108755764E12	1.0	5.485571339229876	182.29641693811072	1433.6996336996335	
1.7126464108950776E12	1.0	5.485571339229876	182.29641693811072	1410.989010989011	
1.7126464109145786E12	1.0	5.485571339229876	182.29641693811072	1403.6630036630036	
