ms	no_units	uS	kOhms	mV	
1.7127131190203845E12	3.0	0.10855810855810857	9211.65644171779	1276.923076923077	
1.7127131190398867E12	3.0	0.10855810855810857	9211.65644171779	1266.6666666666665	
1.712713119059389E12	3.0	0.10855810855810857	9211.65644171779	1256.4102564102564	
1.712713119078891E12	3.0	0.10855810855810857	9211.65644171779	1246.153846153846	
1.7127131190983933E12	3.0	0.10855810855810857	9211.65644171779	1249.084249084249	
1.7127131191178955E12	3.0	0.10855810855810857	9211.65644171779	1281.3186813186812	
1.7127131191373977E12	3.0	0.10855810855810857	9211.65644171779	1366.3003663003662	
1.7127131191569E12	3.0	0.10855810855810857	9211.65644171779	1533.3333333333333	
1.7127131191764023E12	3.0	0.10855810855810857	9211.65644171779	1745.7875457875457	
1.7127131191959045E12	3.0	0.10855810855810857	9211.65644171779	1926.007326007326	
1.7127131192154067E12	3.0	0.10900210900210901	9174.134419551934	2026.3736263736262	
1.712713119234909E12	3.0	0.10900210900210901	9174.134419551934	2043.2234432234432	
1.7127131192544111E12	3.0	0.10900210900210901	9174.134419551934	1989.7435897435896	
1.7127131192739133E12	3.0	0.10900210900210901	9174.134419551934	1903.296703296703	
1.7127131192934155E12	3.0	0.10900210900210901	9174.134419551934	1794.139194139194	
1.7127131193129177E12	3.0	0.10900210900210901	9174.134419551934	1686.4468864468863	
1.7127131193324202E12	3.0	0.10900210900210901	9174.134419551934	1602.197802197802	
1.7127131193519224E12	3.0	0.10900210900210901	9174.134419551934	1542.1245421245421	
1.7127131193714246E12	3.0	0.10900210900210901	9174.134419551934	1500.3663003663003	
1.7127131193909268E12	3.0	0.10900210900210901	9174.134419551934	1478.3882783882782	
1.712713119410429E12	3.0	0.10900210900210901	9174.134419551934	1466.6666666666665	
1.7127131194299312E12	3.0	0.10900210900210901	9174.134419551934	1467.3992673992673	
1.7127131194494333E12	3.0	0.10900210900210901	9174.134419551934	1476.923076923077	
1.7127131194689355E12	3.0	0.10900210900210901	9174.134419551934	1486.4468864468863	
1.712713119488438E12	3.0	0.10900210900210901	9174.134419551934	1485.7142857142856	
1.7127131195079402E12	3.0	0.10900210900210901	9174.134419551934	1471.062271062271	
1.7127131195274424E12	3.0	0.10900210900210901	9174.134419551934	1447.6190476190475	
1.7127131195469446E12	3.0	0.10900210900210901	9174.134419551934	1410.2564102564102	
1.7127131195664468E12	3.0	0.10900210900210901	9174.134419551934	1380.952380952381	
1.712713119585949E12	3.0	0.10900210900210901	9174.134419551934	1365.5677655677655	
1.7127131196054512E12	3.0	0.10855810855810857	9211.65644171779	1357.5091575091574	
1.7127131196249534E12	3.0	0.10855810855810857	9211.65644171779	1335.5311355311355	
1.7127131196444556E12	3.0	0.10855810855810857	9211.65644171779	1314.2857142857142	
1.712713119663958E12	3.0	0.10855810855810857	9211.65644171779	1290.8424908424909	
1.7127131196834602E12	3.0	0.10855810855810857	9211.65644171779	1274.7252747252746	
1.7127131197029624E12	3.0	0.10811410811410813	9249.486652977412	1255.6776556776556	
1.7127131197224646E12	3.0	0.10855810855810857	9211.65644171779	1241.0256410256409	
1.7127131197419668E12	3.0	0.10811410811410813	9249.486652977412	1232.967032967033	
1.712713119761469E12	3.0	0.10811410811410813	9249.486652977412	1225.6410256410256	
1.7127131197809712E12	3.0	0.10811410811410813	9249.486652977412	1216.117216117216	
1.7127131198004734E12	3.0	0.10811410811410813	9249.486652977412	1211.7216117216117	
1.7127131198199758E12	3.0	0.10811410811410813	9249.486652977412	1211.7216117216117	
1.712713119839478E12	3.0	0.10811410811410813	9249.486652977412	1228.5714285714284	
1.7127131198589802E12	3.0	0.10811410811410813	9249.486652977412	1271.7948717948716	
1.7127131198784824E12	3.0	0.10811410811410813	9249.486652977412	1383.8827838827838	
1.7127131198979846E12	3.0	0.10811410811410813	9249.486652977412	1582.4175824175823	
1.7127131199174868E12	3.0	0.10855810855810857	9211.65644171779	1819.047619047619	
1.712713119936989E12	3.0	0.10811410811410813	9249.486652977412	2011.7216117216117	
1.7127131199564912E12	3.0	0.10811410811410813	9249.486652977412	2109.8901098901097	
1.7127131199759937E12	3.0	0.10811410811410813	9249.486652977412	2121.6117216117214	
1.7127131199954958E12	3.0	0.10811410811410813	9249.486652977412	2075.457875457875	
1.712713120014998E12	3.0	0.10855810855810857	9211.65644171779	1987.5457875457873	
1.7127131200345002E12	3.0	0.10855810855810857	9211.65644171779	1876.923076923077	
1.7127131200540024E12	3.0	0.10855810855810857	9211.65644171779	1764.102564102564	
1.7127131200735046E12	3.0	0.10855810855810857	9211.65644171779	1660.8058608058607	
1.7127131200930068E12	3.0	0.10855810855810857	9211.65644171779	1573.6263736263736	
1.712713120112509E12	3.0	0.10855810855810857	9211.65644171779	1514.2857142857142	
1.7127131201320115E12	3.0	0.10855810855810857	9211.65644171779	1488.6446886446886	
1.7127131201515137E12	3.0	0.10855810855810857	9211.65644171779	1487.179487179487	
1.7127131201710159E12	3.0	0.10855810855810857	9211.65644171779	1494.5054945054944	
1.712713120190518E12	3.0	0.10855810855810857	9211.65644171779	1509.89010989011	
1.7127131202100203E12	3.0	0.10900210900210901	9174.134419551934	1517.9487179487178	
1.7127131202295225E12	3.0	0.10855810855810857	9211.65644171779	1512.8205128205127	
1.7127131202490247E12	3.0	0.10900210900210901	9174.134419551934	1490.8424908424906	
1.7127131202685269E12	3.0	0.10900210900210901	9174.134419551934	1466.6666666666665	
1.7127131202880293E12	3.0	0.10900210900210901	9174.134419551934	1429.3040293040292	
1.7127131203075315E12	3.0	0.10900210900210901	9174.134419551934	1388.278388278388	
1.7127131203270337E12	3.0	0.10855810855810857	9211.65644171779	1349.4505494505493	
1.712713120346536E12	3.0	0.10855810855810857	9211.65644171779	1323.8095238095236	
1.712713120366038E12	3.0	0.10900210900210901	9174.134419551934	1311.3553113553112	
1.7127131203855403E12	3.0	0.10855810855810857	9211.65644171779	1298.168498168498	
1.7127131204050425E12	3.0	0.10855810855810857	9211.65644171779	1281.3186813186812	
1.7127131204245447E12	3.0	0.10855810855810857	9211.65644171779	1264.4688644688645	
1.712713120444047E12	3.0	0.10855810855810857	9211.65644171779	1249.084249084249	
1.7127131204635493E12	3.0	0.10855810855810857	9211.65644171779	1232.967032967033	
1.7127131204830515E12	3.0	0.10855810855810857	9211.65644171779	1218.3150183150183	
1.7127131205025537E12	3.0	0.10855810855810857	9211.65644171779	1200.0	
1.712713120522056E12	3.0	0.10855810855810857	9211.65644171779	1191.2087912087911	
1.712713120541558E12	3.0	0.10855810855810857	9211.65644171779	1189.7435897435896	
1.7127131205610603E12	3.0	0.10811410811410813	9249.486652977412	1180.952380952381	
1.7127131205805625E12	3.0	0.10811410811410813	9249.486652977412	1175.8241758241757	
1.712713120600065E12	3.0	0.10811410811410813	9249.486652977412	1169.9633699633698	
1.7127131206195671E12	3.0	0.10811410811410813	9249.486652977412	1194.8717948717947	
1.7127131206390693E12	3.0	0.10767010767010769	9287.628865979379	1268.131868131868	
1.7127131206585715E12	3.0	0.10767010767010769	9287.628865979379	1413.9194139194137	
1.7127131206780737E12	3.0	0.10767010767010769	9287.628865979379	1616.117216117216	
1.712713120697576E12	3.0	0.10767010767010769	9287.628865979379	1816.8498168498168	
1.7127131207170781E12	3.0	0.10767010767010769	9287.628865979379	1956.7765567765566	
